Train Accuracy:           time
id            
6     0.437637
51   72.411655
45    5.584617
44   13.531425
52   60.694052
33    4.004131
24  522.030222
27    0.712762
11    0.697270
47    0.072154
26    1.883573
19    1.714896
23    4.390069
21    0.330245
42  275.233354
38    0.681305
2     0.438436
12   48.102767
14    0.684201
43  307.521402
41    5.451125
16  435.281180
13   64.381044
8    18.832398
50    5.269642
31  522.340083
28    1.846327
40   13.250047
37    0.384969
9    27.869301
10  158.371184
17   34.158718
39   20.484891
48    0.747794
15    0.703709
36  227.582911
Test Accuracy:           time
id            
35    0.593277
30    2.214222
46    0.355306
20    0.949659
32    0.687954
22    0.362391
7     0.727295
34    0.041868
3     0.151719
4     0.714265
29  179.250501
49   28.290563
5     0.634981
18  150.784890
1     0.150837
25  218.201443
