Linear Regression:
Train Accuracy:
id	perc_error
7	3.613887
89	0.505180
65	0.002378
27	0.374787
49	0.762904
51	0.073184
73	0.015289
55	0.552933
22	0.111246
26	0.133173
34	0.022449
30	6.883118
53	1.424808
15	0.304880
86	0.751396
80	634.193663
96	0.224646
4	0.077162
44	1.181542
12	1.914940
99	2.519707
46	0.209524
84	0.495425
68	7.654795
90	33.899257
87	0.270570
50	22.448988
83	0.190892
60	1.273376
20	0.508641
82	0.196299
39	2.304190
69	4.711398
3	0.256581
32	18.954087
85	0.131170
52	6.660277
37	4.439936
5	2889.747940
1	0.102032
59	6.033245
6	0.438129
97	0.349043
2	0.156859
94	0.249223
42	0.994033
10	1.568570
19	0.025701
92	1061.156456
48	0.230599
66	29.461243
76	0.443710
78	0.015060
45	8.701411
93	112.038521
91	1.569661
54	0.020720
16	0.074069
77	0.215476
8	0.051316
81	0.429712
31	0.188399
28	2.615543
63	0.620600
9	0.151918
74	18.007950
17	0.024216
62	25.553392
79	7.345689
100	0.388246
Test Accuracy:
id	perc_error
67	0.920225
33	0.091022
47	2.686568
29	0.530416
75	7.101465
24	0.303002
11	3.735123
21	29.694803
18	0.160327
36	0.437302
98	0.121781
38	0.883683
71	0.761241
41	4.842412
61	24.016291
35	0.297326
43	52.264126
58	21.214226
13	5.026768
70	0.275494
95	0.653275
57	0.024305
23	1.766330
40	11.621863
25	0.041117
14	0.229947
64	0.324572
72	31.747122
56	0.330952
88	0.446460
Random Forest:
Train Accuracy:
id	perc_error
7	4.227354
89	0.331179
65	0.283763
27	0.092482
49	0.146374
51	0.088880
73	0.140535
55	0.044307
22	0.122717
26	0.129906
34	0.083426
30	0.196370
53	0.533580
15	0.063561
86	0.380639
80	79.184400
96	0.044993
4	0.098518
44	0.435860
12	0.079892
99	0.126841
46	0.060715
84	0.010350
68	0.538270
90	0.167934
87	0.129796
50	0.052448
83	0.359379
60	1.564957
20	0.025253
82	0.158069
39	0.091005
69	0.103455
3	0.524521
32	0.118304
85	0.267751
52	0.054353
37	0.067253
5	1316.256842
1	0.022171
59	0.361636
6	0.092167
97	0.261535
2	0.056467
94	0.074157
42	0.193210
10	0.024677
19	0.001233
92	257.471333
48	0.092823
66	0.479099
76	0.125269
78	0.074033
45	0.491728
93	0.494612
91	0.002448
54	0.080789
16	0.329159
77	0.046794
8	0.037846
81	0.111616
31	0.064692
28	0.370370
63	0.150878
9	0.104856
74	1.305385
17	0.088125
62	1.153703
79	0.115135
100	0.065357
Test Accuracy:
id	perc_error
67	0.889611
33	1.629530
47	0.717457
29	0.509428
75	2.557557
24	0.234938
11	0.333568
21	1.788235
18	0.754147
36	0.000264
98	0.027227
38	0.392764
71	0.211715
41	0.207614
61	1.474608
35	0.246003
43	0.319750
58	0.582815
13	6.807938
70	0.085213
95	0.025371
57	0.815045
23	2.799104
40	0.112664
25	0.130468
14	0.065642
64	0.141058
72	0.661569
56	0.198660
88	0.372047
