, sort_num, sort_size, sort_rows, min_num, min_size, min_rows, max_num, max_size, max_rows, grep_num, grep_size, grep_rows, total_size,async_num,time
1-3-50,0,0,0,1,105817412,259952,2,1546961842,9896374,2,2633229059,18657673,4286008313,3,5.71
1-3-44,1,4526223222,62799128,2,785429419,5024677,1,4996952961,80329325,1,7288750773,33373630,17597356375,3,5.832
1-3-18,2,5012700910,80438038,1,158657,2173,2,301905666,598051,1,2919063,29776,5317684296,3,7.256
2-9-49,2,95411939,270765,1,6933159570,75536964,2,7992803007,100567610,2,9996824985,160688426,25018199501,9,16.228
2-9-44,1,4526223222,62799128,2,785429419,5024677,1,4996952961,80329325,1,7288750773,33373630,17597356375,9,13.058
2-9-61,3,1702682339,14991737,0,0,0,0,0,0,1,5107,151,1702687446,9,14.138
2-9-51,2,5543125261,87918779,2,4760834732,30438883,1,16557,159,1,10332849,14475,10314309399,9,14.511
2-9-52,1,94371854,257112,3,5740788028,73716245,2,19281198,66012,1,20642754,28958,5875083834,9,16.29
2-9-42,2,1280820363,8154597,0,0,0,2,856241519,5461802,1,386351275,2472543,2523413157,9,24.686
2-9-39,1,2632882364,18653122,0,0,0,2,386323359,2476987,2,9994252617,160663201,13013458340,9,19.102
2-9-37,0,0,0,2,2628640,29988,3,41504684,107420,2,2878967,23855,47012291,9,22.303
3-2-9,2,428191341,2750965,1,5107,151,0,0,0,3,8508858020,80274445,8937054468,2,29.501
3-2-1,0,0,0,3,418286495,2690875,2,15013739,38742,1,1010600,13268,434310834,2,73.161
4-5-98,2,2461792674,5063572,0,0,0,1,16300,214,1,1894132,4692,2463703106,5,51.142
4-5-74,1,52908706,129976,1,150828752,284808,3,8818730686,26817749,1,13625843,84549,9036093987,5,120.785
4-5-82,1,601809388,1136910,3,4312811783,101548307,0,0,0,2,8820058241,26828162,13734679412,5,73.396
4-5-60,1,10321377,14479,4,6042027925,72522183,0,0,0,1,1251220,32766,6053600522,5,95.81
4-5-68,2,789033540,5051538,2,549408380,7622894,3,831484473,5276933,0,0,0,2169926393,5,142.915
5-3-83,0,0,0,4,892358596,5351679,1,1360155,10841,0,0,0,893718751,3,24.108
