script_id, sort_num, sort_size, sort_rows, min_num, min_size, min_rows, max_num, max_size, max_rows, grep_num, grep_size, grep_rows, total_size
1,0,0,0,3,418286495,2690875,2,15013739,38742,1,1010600,13268,434310834
2,2,32059175,227442,3,7040087581,75812127,1,1007342,8575,0,0,0,7073154098
3,1,273086150,3794727,1,30456333,302677,2,2663338697,18955799,1,386351275,2472543,3353232455
4,1,380890927,2441220,3,4528485042,62845162,1,2361277,25404,2,7289861372,33388841,12201598618
5,1,12652462,13338,1,8209468,65124,5,6473210956,76622383,0,0,0,6494072886
6,0,0,0,2,387391360,2486196,2,758907140,4870027,1,300904694,568455,1447203194
7,3,4239302893,42713743,0,0,0,1,94371854,257112,2,7345602832,78168136,11679277579
8,2,854038899,5438571,1,772605602,4953624,1,60912666,605354,3,9995858048,160685524,11683415215
9,2,428191341,2750965,1,5107,151,0,0,0,3,8508858020,80274445,8937054468
10,1,300904694,568455,1,426940121,2718199,2,1534387456,9836064,2,28275087,181849,2290507358
11,1,7288750773,33373630,1,18280226,36416,1,2720310,21682,2,14577501546,66747260,21887252855
12,0,0,0,1,68890252,91144,1,789456370,5039686,2,798258343,5095881,1656604965
13,0,0,0,0,0,0,2,795294496,5099238,2,4349642560,27829397,5144937056
14,4,1564646712,10038379,1,5107,151,1,380890927,2441220,0,0,0,1945542746
15,2,866532704,5449736,2,18109226,134117,2,14577506653,66747411,1,815313498,5202906,16277462081
16,2,303823757,598231,3,1158728646,10521388,1,2720310,21682,1,399126618,2547865,1864399331
17,2,65017400,637916,0,0,0,1,68890252,91144,1,757505472,4856688,891413124
18,2,5012700910,80438038,1,158657,2173,2,301905666,598051,1,2919063,29776,5317684296
19,1,1007342,8575,2,2821626072,19167346,1,20642754,28958,2,417406844,2584281,3260683012
20,1,6933159570,75536964,3,48910508,274496,1,2919063,29776,1,2361277,25404,6987350418
21,1,426940121,2718199,1,761781854,4882440,3,9994485756,160668825,2,2944024,30087,11186151755
22,1,376304038,5609990,3,886627360,5686590,3,499935107,2841905,0,0,0,1762866505
23,4,767936997,4945656,0,0,0,1,761781854,4882440,1,798253236,5095730,2327972087
24,1,757899798,4861452,2,29782867,47166,1,10321377,14479,2,773265827,4955102,1571269869
25,2,1347667,34147,1,20558,175,1,2361277,25404,1,4996952961,80329325,5000682463
26,2,7748473068,80739870,0,0,0,1,761781854,4882440,1,14577501546,66747260,23087756468
27,2,406945555,2505770,1,16557,159,2,304893584,603056,0,0,0,711855696
28,1,13628577,116135,2,4538875684,62812466,2,3845529684,40199208,1,5107,151,8398039052
29,1,27257154,232270,2,1987648885,7356399,1,20642754,28958,1,1007342,8575,2036556135
30,2,4560592593,72161787,3,4813543787,75668316,0,0,0,1,757505472,4856688,10131641852
31,1,10321377,14479,0,0,0,2,155284520,862466,3,3466743549,37770806,3632349446
32,1,12652462,13338,1,188743708,514224,1,546172300,7589454,1,815313498,5202906,1562881968
33,1,4526223222,62799128,1,15747949,108713,2,413466663,2643923,3,4832081039,72441218,9787518873
34,1,798253236,5095730,0,0,0,3,13680970,26240,1,412443262,2631172,1224377468
35,0,0,0,5,11364007728,118803070,1,20558,175,0,0,0,11364028286
36,4,7661292630,99314720,0,0,0,1,7288750773,33373630,2,8558436,81234,14958601839
37,0,0,0,2,2628640,29988,3,41504684,107420,2,2878967,23855,47012291
38,1,399126618,2547865,2,394584264,5646406,1,376304038,5609990,2,1295213061,2520621,2465227981
39,1,2632882364,18653122,0,0,0,2,386323359,2476987,2,9994252617,160663201,13013458340
40,2,16753009,133241,0,0,0,1,1251220,32766,3,427421501,2708932,445425730
41,3,5105182769,74850146,2,31908803,152551,1,5107,151,1,31495898,217426,5168592577
42,2,1280820363,8154597,0,0,0,2,856241519,5461802,1,386351275,2472543,2523413157
43,3,8440403222,40749442,2,7299072150,33388109,0,0,0,2,416807608,2775220,16156282980
44,1,4526223222,62799128,2,785429419,5024677,1,4996952961,80329325,1,7288750773,33373630,17597356375
45,1,2720310,21682,2,1216396491,7757885,1,2361277,25404,2,2266078730,35942823,3487556808
46,2,273091257,3794878,1,20642754,28958,1,1000972,29596,2,1203024226,2376804,1497759209
47,0,0,0,4,311996933,613537,1,4996952961,80329325,1,546172300,7589454,5855122194
48,2,4556679555,63101805,1,4333894611,27720684,1,426940121,2718199,1,772702550,4945086,10090216837
49,2,95411939,270765,1,6933159570,75536964,2,7992803007,100567610,2,9996824985,160688426,25018199501
50,0,0,0,1,105817412,259952,2,1546961842,9896374,2,2633229059,18657673,4286008313
